muni,Muni Zoned %_single_family,TRACT CODE,Cleaned Tract Code,Block Group of parcel_data_aggregated_by_block_group,N,percent_sf_residences,Row %(Apartments with Four or more units),N(Apartments with Four or more units),Row %(Chapter 61 or 61A or 61B Property),N(Chapter 61 or 61A or 61B Property),Row %(Commercial),N(Commercial),Row %(Commercial Vacant),N(Commercial Vacant),Row %(Condominium),N(Condominium),Row %(Federal State or Municipal),N(Federal State or Municipal),Row %(Group Quarters),N(Group Quarters),Row %(Industrial),N(Industrial),Row %(Industrial Vacant),N(Industrial Vacant),Row %(Institutional or Exempt),N(Institutional or Exempt),Row %(Institutional or Exempt Vacant),N(Institutional or Exempt Vacant),Row %(Mixed Use),N(Mixed Use),Row %(Municipal Vacant),N(Municipal Vacant),Row %(Open Space),N(Open Space),Row %(Other Agricultural or Recreational),N(Other Agricultural or Recreational),Row %(Residential Other),N(Residential Other),Row %(Residential Vacant),N(Residential Vacant),Row %(Single Family Residence),N(Single Family Residence),Row %(Tax Exempt Other),N(Tax Exempt Other),Row %(Two or Three Family Residences),N(Two or Three Family Residences),Row %(Unknown),N(Unknown),EJ,Ej Crit De,recoded_ej_criteria,Ej Criteri,Geographic,Geographic 1,Block Group of EJ_POLY,Geoid,Census Tract,Limitedeng,Medianhhi,Minority P,Municipali,Split For,Bg Mhhi,Bg Mhhi Is,Bg Mhhi Pc,Ej Crite 1,Geometry,Limenghh,Limenghhpc,Muni Mhhi,Munimhhi P,Nonhispwhi,Pct Minori,Shape Area,Shape Len,Total Pop,Totalhh
Boston,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Minority and income,Minority and income,MI,"Block Group 1, Census Tract 402, Suffolk County, Massachusetts",Block Group 1,1,2.50E+11,40200,,I,M,Boston,N,16250,0,19.25697708,2,Polygon,31,12.25296402,76298,90.41654205,119,81.28930818,55208.8416,952.7783011,636,253
Boston,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,"Minority, income and English isolation","Minority, income and English isolation",MIE,"Block Group 2, Census Tract 607, Suffolk County, Massachusetts",Block Group 2,2,2.50E+11,60700,E,I,M,Boston,N,14167,0,16.78852844,3,Polygon,380,57.40181351,76298,90.41654205,111,83.95953757,39213.98308,1068.58088,692,662
Hamilton,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Minority,Minority,M,"Block Group 4, Census Tract 2151.01, Essex County, Massachusetts",Block Group 4,4,2.50E+11,215101,,,M,Hamilton,N,129063,1,150.3477325,1,Polygon,55,21.9123497,115203,136.5207062,248,49.18032787,831758.2435,3668.133596,488,251
Cambridge,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Minority,Minority,M,"Block Group 3, Census Tract 3549.01, Middlesex County, Massachusetts",Block Group 3,3,2.50E+11,354901,,,M,Cambridge,N,137874,0,163.3868561,1,Polygon,111,16.22806931,107490,127.380455,661,55.24712255,257991.9982,2823.339862,1477,684
Bedford,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Minority,Minority,M,"Block Group 6, Census Tract 3593.03, Middlesex County, Massachusetts",Block Group 6,6,2.50E+11,359303,,,M,Bedford,N,216346,1,252.0252075,1,Polygon,0,0,133824,158.5874329,39,62.13592233,3099701.743,9644.8819,103,0
Concord,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Minority,Minority,M,"Block Group 3, Census Tract 3612, Middlesex County, Massachusetts",Block Group 3,3,2.50E+11,361200,,,M,Concord,N,159661,0,189.2054291,1,Polygon,0,0,160392,190.0717011,180,70.96774194,206584.9474,1819.583153,620,0
Wellesley,84.00422669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Minority,Minority,M,"Block Group 4, Census Tract 4044, Norfolk County, Massachusetts",Block Group 4,4,2.50E+11,404400,,,M,Wellesley,N,147083,0,174.299942,1,Polygon,0,0,213684,253.2250977,911,53.68581596,846558.7377,4827.230052,1967,0
Boston,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Minority,Minority,M,"Block Group 1, Census Tract 9803, Suffolk County, Massachusetts",Block Group 1,1,2.50E+11,980300,,,M,Boston,N,0,0,0,1,Polygon,0,0,76298,90.41654205,42,62.83185841,2108697.827,6370.567586,113,0
Boston,0,101,101,1,173,19.62025317,5.20%,9,0.00%,0,0.58%,1,0.58%,1,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,4.62%,8,0.00%,0,1.16%,2,0.00%,0,0.00%,0,0.00%,0,1.73%,3,0.58%,1,17.92%,31,0.58%,1,66.47%,115,0.58%,1,Yes,Minority,Minority,M,"Block Group 1, Census Tract 1.01, Suffolk County, Massachusetts",Block Group 1,1,2.50E+11,101,,,M,Boston,N,109028,0,129.203064,1,Polygon,42,11.50684929,76298,90.41654205,643,38.878327,140293.2945,1519.769321,1052,365
Boston,0,101,101,2,148,22.83464567,2.70%,4,0.00%,0,2.03%,3,0.00%,0,0.00%,0,2.03%,3,0.68%,1,0.68%,1,0.00%,0,6.76%,10,0.00%,0,2.03%,3,0.00%,0,0.00%,0,0.00%,0,0.68%,1,0.00%,0,19.59%,29,0.00%,0,62.84%,93,0.00%,0,Yes,Minority,Minority,M,"Block Group 2, Census Tract 1.01, Suffolk County, Massachusetts",Block Group 2,2,2.50E+11,101,,,M,Boston,N,128750,0,152.5745087,1,Polygon,0,0,76298,90.41654205,568,31.06796117,109615.6989,1691.667294,824,262
Boston,0,102,102,1,140,22.4137931,0.71%,1,0.00%,0,7.14%,10,0.00%,0,0.00%,0,0.71%,1,0.00%,0,4.29%,6,0.00%,0,4.29%,6,0.00%,0,0.71%,1,0.00%,0,0.00%,0,0.00%,0,0.71%,1,0.00%,0,18.57%,26,0.00%,0,62.86%,88,0.00%,0,Yes,Minority,Minority,M,"Block Group 1, Census Tract 1.02, Suffolk County, Massachusetts",Block Group 1,1,2.50E+11,102,,,M,Boston,N,109762,0,130.072876,1,Polygon,63,15.59405899,76298,90.41654205,565,44.60784314,171134.0493,1806.660875,1020,404
Boston,0,102,102,2,248,19.2,6.05%,15,0.00%,0,27.42%,68,3.63%,9,0.00%,0,0.40%,1,0.40%,1,1.21%,3,0.00%,0,9.68%,24,0.00%,0,4.84%,12,0.00%,0,0.00%,0,0.00%,0,2.82%,7,0.00%,0,9.68%,24,1.21%,3,31.85%,79,0.81%,2,Yes,Minority,Minority,M,"Block Group 2, Census Tract 1.02, Suffolk County, Massachusetts",Block Group 2,2,2.50E+11,102,,,M,Boston,N,76591,0,90.76376343,1,Polygon,131,14.27015209,76298,90.41654205,1000,62.88047513,896234.033,6665.514094,2694,918
Boston,0,201,201,1,215,46,0.47%,1,0.00%,0,1.86%,4,0.47%,1,0.00%,0,0.00%,0,0.00%,0,1.40%,3,0.00%,0,1.40%,3,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,1.40%,3,0.93%,2,42.79%,92,0.93%,2,48.37%,104,0.00%,0,Yes,Minority,Minority,M,"Block Group 1, Census Tract 2.01, Suffolk County, Massachusetts",Block Group 1,1,2.50E+11,201,,,M,Boston,N,86719,0,102.765892,1,Polygon,77,18.59903336,76298,90.41654205,650,32.71221532,240978.0025,2038.257738,966,414
Boston,0,201,201,2,159,17.21854305,0.63%,1,0.00%,0,0.63%,1,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,3.77%,6,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.63%,1,16.35%,26,0.00%,0,77.99%,124,0.00%,0,Yes,Minority,Minority,M,"Block Group 2, Census Tract 2.01, Suffolk County, Massachusetts",Block Group 2,2,2.50E+11,201,,,M,Boston,N,121095,0,143.5029907,1,Polygon,45,10.9223299,76298,90.41654205,624,27.69409038,97524.71654,1272.84473,863,412
Boston,0,201,201,3,210,29.54545455,5.24%,11,0.00%,0,0.95%,2,0.00%,0,0.00%,0,1.90%,4,0.00%,0,0.00%,0,0.00%,0,9.52%,20,0.00%,0,3.33%,7,0.00%,0,0.00%,0,0.00%,0,0.48%,1,0.00%,0,24.76%,52,0.00%,0,53.33%,112,0.48%,1,Yes,Minority,Minority,M,"Block Group 3, Census Tract 2.01, Suffolk County, Massachusetts",Block Group 3,3,2.50E+11,201,,,M,Boston,N,91696,0,108.6638641,1,Polygon,112,19.41074562,76298,90.41654205,865,33.61473523,175289.4672,2088.036495,1303,577
Boston,0,201,201,4,128,10.09174312,22.66%,29,0.00%,0,1.56%,2,0.00%,0,0.00%,0,1.56%,2,0.00%,0,0.00%,0,0.00%,0,10.16%,13,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,8.59%,11,1.56%,2,53.91%,69,0.00%,0,Yes,Minority,Minority,M,"Block Group 4, Census Tract 2.01, Suffolk County, Massachusetts",Block Group 4,4,2.50E+11,201,,,M,Boston,N,101818,0,120.6588821,1,Polygon,7,1.74129355,76298,90.41654205,573,30.20706456,85395.23288,1212.335492,821,402
Boston,0,202,202,1,152,28.78787879,11.18%,17,0.00%,0,2.63%,4,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,7.24%,11,0.00%,0,1.32%,2,0.00%,0,0.00%,0,0.00%,0,0.66%,1,0.00%,0,25.00%,38,1.32%,2,50.00%,76,0.66%,1,Yes,Minority,Minority,M,"Block Group 1, Census Tract 2.02, Suffolk County, Massachusetts",Block Group 1,1,2.50E+11,202,,,M,Boston,N,97105,0,115.0737686,1,Polygon,22,7.63888884,76298,90.41654205,584,29.46859903,131276.3507,1496.587162,828,288
Boston,0,202,202,2,178,36.41618497,0.56%,1,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,2.81%,5,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.56%,1,0.00%,0,35.39%,63,0.00%,0,60.67%,108,0.00%,0,Yes,Minority,Minority,M,"Block Group 2, Census Tract 2.02, Suffolk County, Massachusetts",Block Group 2,2,2.50E+11,202,,,M,Boston,N,101450,0,120.222786,1,Polygon,31,7.9691515,76298,90.41654205,564,29.85074627,123031.4093,1496.889596,804,389
Boston,0,202,202,3,313,36.09022556,4.47%,14,0.00%,0,4.79%,15,0.00%,0,0.00%,0,1.28%,4,0.00%,0,0.00%,0,0.00%,0,5.11%,16,0.00%,0,0.96%,3,0.00%,0,0.00%,0,0.00%,0,0.96%,3,0.64%,2,30.67%,96,1.28%,4,48.88%,153,0.96%,3,Yes,Minority,Minority,M,"Block Group 3, Census Tract 2.02, Suffolk County, Massachusetts",Block Group 3,3,2.50E+11,202,,,M,Boston,N,74375,0,88.13770294,1,Polygon,117,14.14752102,76298,90.41654205,1246,50.47694754,347290.7445,3361.558893,2516,827
Boston,0,301,301,1,155,59.55882353,0.00%,0,0.00%,0,1.94%,3,0.00%,0,0.00%,0,0.65%,1,0.00%,0,1.29%,2,0.00%,0,7.74%,12,0.00%,0,0.65%,1,0.00%,0,0.00%,0,0.00%,0,1.29%,2,0.00%,0,52.26%,81,0.00%,0,34.19%,53,0.00%,0,Yes,Minority,Minority,M,"Block Group 1, Census Tract 3.01, Suffolk County, Massachusetts",Block Group 1,1,2.50E+11,301,,,M,Boston,N,111875,0,132.5768738,1,Polygon,8,2.94117641,76298,90.41654205,475,33.56643357,221941.8637,2714.891687,715,272
,,301,301,2,147,36.23188406,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,6.12%,9,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,34.01%,50,0.00%,0,59.86%,88,0.00%,0,No,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
,,301,301,3,116,14.28571429,2.59%,3,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,6.90%,8,0.00%,0,0.86%,1,0.86%,1,0.00%,0,0.00%,0,0.00%,0,0.00%,0,12.93%,15,0.86%,1,75.00%,87,0.00%,0,No,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston,0,301,301,4,93,27.5,6.45%,6,0.00%,0,1.08%,1,0.00%,0,0.00%,0,0.00%,0,1.08%,1,0.00%,0,0.00%,0,4.30%,4,0.00%,0,3.23%,3,0.00%,0,0.00%,0,0.00%,0,3.23%,3,2.15%,2,23.66%,22,0.00%,0,52.69%,49,2.15%,2,Yes,Minority,Minority,M,"Block Group 4, Census Tract 3.01, Suffolk County, Massachusetts",Block Group 4,4,2.50E+11,301,,,M,Boston,N,106359,0,126.0401764,1,Polygon,20,6.96864128,76298,90.41654205,617,33.94004283,126497.0639,1566.15626,934,287
Boston,0,302,302,1,320,36.14864865,0.63%,2,0.00%,0,1.88%,6,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,4.69%,15,0.00%,0,0.63%,2,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,33.44%,107,0.31%,1,58.44%,187,0.00%,0,Yes,Minority,Minority,M,"Block Group 1, Census Tract 3.02, Suffolk County, Massachusetts",Block Group 1,1,2.50E+11,302,,,M,Boston,N,105230,0,124.7022553,1,Polygon,0,0,76298,90.41654205,1000,32.01903467,269274.9007,2849.742736,1471,543
Boston,0,302,302,2,210,63.81909548,0.95%,2,0.00%,0,0.48%,1,0.00%,0,0.00%,0,0.48%,1,0.00%,0,0.00%,0,0.00%,0,3.81%,8,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.48%,1,0.00%,0,60.48%,127,0.48%,1,32.86%,69,0.00%,0,Yes,Minority,Minority,M,"Block Group 2, Census Tract 3.02, Suffolk County, Massachusetts",Block Group 2,2,2.50E+11,302,,,M,Boston,N,99181,0,117.5339203,1,Polygon,81,10.06211185,76298,90.41654205,1022,36.16489694,366763.2422,3205.170298,1601,805
Boston,0,401,401,1,46,0,28.26%,13,0.00%,0,2.17%,1,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,13.04%,6,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,2.17%,1,52.17%,24,2.17%,1,Yes,Minority,Minority,M,"Block Group 1, Census Tract 4.01, Suffolk County, Massachusetts",Block Group 1,1,2.50E+11,401,,,M,Boston,N,74679,0,88.49795532,1,Polygon,0,0,76298,90.41654205,1023,32.74161736,54137.56938,986.5702026,1521,714
Boston,0,401,401,2,118,9.174311927,9.32%,11,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,7.63%,9,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,8.47%,10,0.00%,0,74.58%,88,0.00%,0,Yes,Minority,Minority,M,"Block Group 2, Census Tract 4.01, Suffolk County, Massachusetts",Block Group 2,2,2.50E+11,401,,,M,Boston,N,82232,0,97.44860077,1,Polygon,42,8.84210491,76298,90.41654205,772,35.88039867,107454.0998,1612.442404,1204,475
Boston,0,401,401,3,180,20.98765432,5.00%,9,0.00%,0,0.56%,1,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,6.67%,12,0.00%,0,2.22%,4,0.00%,0,0.00%,0,0.00%,0,2.22%,4,0.00%,0,18.89%,34,0.56%,1,63.89%,115,0.00%,0,Yes,Minority,Minority,M,"Block Group 3, Census Tract 4.01, Suffolk County, Massachusetts",Block Group 3,3,2.50E+11,401,,,M,Boston,N,90536,0,107.2892075,1,Polygon,28,6.00858355,76298,90.41654205,715,32.29166667,116840.0737,1679.186983,1056,466
Boston,0,401,401,4,145,27.73109244,4.14%,6,0.00%,0,2.76%,4,0.00%,0,0.00%,0,1.38%,2,0.00%,0,0.00%,0,0.00%,0,8.28%,12,0.00%,0,2.76%,4,0.69%,1,0.00%,0,0.00%,0,0.69%,1,0.00%,0,22.76%,33,1.38%,2,54.48%,79,0.69%,1,Yes,"Minority, income and English isolation","Minority, income and English isolation",MIE,"Block Group 4, Census Tract 4.01, Suffolk County, Massachusetts",Block Group 4,4,2.50E+11,401,E,I,M,Boston,N,11799,0,13.98234272,3,Polygon,776,64.50540161,76298,90.41654205,1207,41.74710425,152582.8719,1745.827446,2072,1203
Boston,0,402,402,1,190,30.72289157,5.26%,10,0.00%,0,0.53%,1,0.00%,0,0.00%,0,2.63%,5,0.00%,0,0.00%,0,0.00%,0,7.37%,14,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.53%,1,0.00%,0,26.84%,51,2.11%,4,54.74%,104,0.00%,0,Yes,Minority,Minority,M,"Block Group 1, Census Tract 4.02, Suffolk County, Massachusetts",Block Group 1,1,2.50E+11,402,,,M,Boston,N,74565,0,88.36286163,1,Polygon,6,1.09090912,76298,90.41654205,1008,31.38189244,162109.9579,1661.256555,1469,550
Boston,0,402,402,2,164,20,0.61%,1,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,5.49%,9,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.61%,1,17.68%,29,5.49%,9,70.12%,115,0.00%,0,Yes,Minority,Minority,M,"Block Group 2, Census Tract 4.02, Suffolk County, Massachusetts",Block Group 2,2,2.50E+11,402,,,M,Boston,N,113015,0,133.9278259,1,Polygon,0,0,76298,90.41654205,634,34.43640124,382989.5124,2515.359023,967,337
Boston,0,402,402,3,195,39.35483871,7.69%,15,0.00%,0,4.62%,9,0.00%,0,0.00%,0,1.03%,2,0.00%,0,0.00%,0,0.00%,0,8.72%,17,0.00%,0,4.62%,9,0.00%,0,0.00%,0,0.00%,0,2.05%,4,0.51%,1,31.28%,61,0.00%,0,38.46%,75,1.03%,2,Yes,Minority,Minority,M,"Block Group 3, Census Tract 4.02, Suffolk County, Massachusetts",Block Group 3,3,2.50E+11,402,,,M,Boston,N,139071,0,164.8053589,1,Polygon,3,0.54945058,76298,90.41654205,884,26.82119205,261616.8515,2342.24149,1208,546
Boston,0,502,502,1,44,5.555555556,27.27%,12,0.00%,0,18.18%,8,0.00%,0,0.00%,0,4.55%,2,0.00%,0,0.00%,0,0.00%,0,15.91%,7,0.00%,0,9.09%,4,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,2.27%,1,4.55%,2,11.36%,5,6.82%,3,Yes,Minority,Minority,M,"Block Group 1, Census Tract 5.02, Suffolk County, Massachusetts",Block Group 1,1,2.50E+11,502,,,M,Boston,N,87941,0,104.2140198,1,Polygon,23,4.32330847,76298,90.41654205,737,29.33844679,159459.3997,2868.054698,1043,532
Boston,0,502,502,2,23,29.41176471,13.04%,3,0.00%,0,4.35%,1,0.00%,0,0.00%,0,4.35%,1,0.00%,0,0.00%,0,0.00%,0,17.39%,4,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,21.74%,5,0.00%,0,39.13%,9,0.00%,0,Yes,Minority,Minority,M,"Block Group 2, Census Tract 5.02, Suffolk County, Massachusetts",Block Group 2,2,2.50E+11,502,,,M,Boston,N,73889,0,87.56176758,1,Polygon,3,0.85714287,76298,90.41654205,1276,25.38011696,685007.8822,3825.008934,1710,350
Boston,0,502,502,3,52,5.555555556,36.54%,19,0.00%,0,0.00%,0,0.00%,0,0.00%,0,3.85%,2,0.00%,0,0.00%,0,0.00%,0,19.23%,10,0.00%,0,5.77%,3,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,3.85%,2,1.92%,1,28.85%,15,0.00%,0,Yes,Minority and income,Minority and income,MI,"Block Group 3, Census Tract 5.02, Suffolk County, Massachusetts",Block Group 3,3,2.50E+11,502,,I,M,Boston,N,46818,0,55.48142624,2,Polygon,117,15.85365868,76298,90.41654205,1051,33.35447051,87331.2755,1346.293908,1577,738
,,502,502,4,1,,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,100.00%,1,0.00%,0,0.00%,0,No,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston,0,503,503,1,27,0,18.52%,5,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,29.63%,8,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,3.70%,1,0.00%,0,0.00%,0,0.00%,0,48.15%,13,0.00%,0,Yes,Minority,Minority,M,"Block Group 1, Census Tract 5.03, Suffolk County, Massachusetts",Block Group 1,1,2.50E+11,503,,,M,Boston,N,107639,0,127.5570297,1,Polygon,23,5.94315243,76298,90.41654205,523,33.54510801,64232.13122,1168.64189,787,387
Boston,0,503,503,2,38,0,36.84%,14,0.00%,0,2.63%,1,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,26.32%,10,0.00%,0,10.53%,4,0.00%,0,0.00%,0,0.00%,0,5.26%,2,0.00%,0,0.00%,0,0.00%,0,18.42%,7,0.00%,0,Yes,Minority,Minority,M,"Block Group 2, Census Tract 5.03, Suffolk County, Massachusetts",Block Group 2,2,2.50E+11,503,,,M,Boston,N,74869,0,88.72311401,1,Polygon,80,10.40312099,76298,90.41654205,1098,32.67933783,75705.33734,1105.159793,1631,769
Boston,0,505,505,1,31,5.263157895,32.26%,10,0.00%,0,9.68%,3,0.00%,0,0.00%,0,0.00%,0,6.45%,2,0.00%,0,0.00%,0,19.35%,6,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,3.23%,1,0.00%,0,25.81%,8,3.23%,1,Yes,Minority,Minority,M,"Block Group 1, Census Tract 5.05, Suffolk County, Massachusetts",Block Group 1,1,2.50E+11,505,,,M,Boston,N,100451,0,119.0389252,1,Polygon,0,0,76298,90.41654205,508,37.20642769,42552.27097,851.1518535,809,374
Boston,0,505,505,2,29,8.695652174,44.83%,13,0.00%,0,0.00%,0,0.00%,0,0.00%,0,6.90%,2,0.00%,0,0.00%,0,0.00%,0,3.45%,1,0.00%,0,3.45%,1,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,6.90%,2,6.90%,2,27.59%,8,0.00%,0,Yes,Minority and income,Minority and income,MI,"Block Group 2, Census Tract 5.05, Suffolk County, Massachusetts",Block Group 2,2,2.50E+11,505,,I,M,Boston,N,40758,0,48.30005264,2,Polygon,44,9.73451328,76298,90.41654205,538,39.41441441,47060.22951,1065.498077,888,452
Boston,0,505,505,3,33,8.333333333,0.00%,0,0.00%,0,15.15%,5,0.00%,0,0.00%,0,0.00%,0,6.06%,2,0.00%,0,0.00%,0,6.06%,2,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,9.09%,3,0.00%,0,6.06%,2,0.00%,0,57.58%,19,0.00%,0,Yes,Minority,Minority,M,"Block Group 3, Census Tract 5.05, Suffolk County, Massachusetts",Block Group 3,3,2.50E+11,505,,,M,Boston,N,73333,1,85.42688751,1,Polygon,23,10.7476635,76298,90.41654205,337,32.46492986,54764.76683,946.0327363,499,214
Boston,0,506,506,1,64,15.78947368,20.31%,13,0.00%,0,14.06%,9,0.00%,0,0.00%,0,1.56%,1,0.00%,0,0.00%,0,0.00%,0,20.31%,13,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,1.56%,1,0.00%,0,9.38%,6,1.56%,1,28.13%,18,3.13%,2,Yes,Minority,Minority,M,"Block Group 1, Census Tract 5.06, Suffolk County, Massachusetts",Block Group 1,1,2.50E+11,506,,,M,Boston,N,55577,0,65.86122894,1,Polygon,181,23.56770897,76298,90.41654205,1016,31.25845737,100840.411,2037.201723,1478,768
Boston,0,506,506,2,100,11.94029851,23.00%,23,0.00%,0,0.00%,0,0.00%,0,0.00%,0,1.00%,1,2.00%,2,0.00%,0,0.00%,0,29.00%,29,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,1.00%,1,8.00%,8,0.00%,0,36.00%,36,0.00%,0,Yes,Minority,Minority,M,"Block Group 2, Census Tract 5.06, Suffolk County, Massachusetts",Block Group 2,2,2.50E+11,506,,,M,Boston,N,99038,0,117.3644638,1,Polygon,43,6.26822138,76298,90.41654205,984,30.55751588,88054.12171,1539.920408,1417,686
,,600,600,1,1,100,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,100.00%,1,0.00%,0,0.00%,0,0.00%,0,No,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston,0,601,601,1,110,56.81818182,0.00%,0,0.00%,0,7.27%,8,0.00%,0,0.00%,0,2.73%,3,0.00%,0,0.00%,0,0.00%,0,3.64%,4,0.00%,0,3.64%,4,0.00%,0,0.00%,0,0.00%,0,0.91%,1,0.00%,0,45.45%,50,2.73%,3,33.64%,37,0.00%,0,Yes,Minority,Minority,M,"Block Group 1, Census Tract 6.01, Suffolk County, Massachusetts",Block Group 1,1,2.50E+11,601,,,M,Boston,N,133750,0,158.4997406,1,Polygon,41,16.26984215,76298,90.41654205,401,41.45985401,144811.0277,1835.677473,685,252
Boston,0,601,601,2,181,34.35114504,8.84%,16,0.00%,0,8.29%,15,0.55%,1,0.00%,0,1.66%,3,0.00%,0,1.10%,2,0.00%,0,8.29%,15,0.00%,0,4.97%,9,0.00%,0,0.00%,0,0.00%,0,1.10%,2,0.55%,1,24.86%,45,1.10%,2,37.57%,68,1.10%,2,Yes,Minority,Minority,M,"Block Group 2, Census Tract 6.01, Suffolk County, Massachusetts",Block Group 2,2,2.50E+11,601,,,M,Boston,N,89276,0,105.796051,1,Polygon,19,3.90143728,76298,90.41654205,798,34.10404624,177200.3999,1947.547513,1211,487
Boston,0,601,601,3,153,23.48993289,1.31%,2,0.00%,0,0.65%,1,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,1.96%,3,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.65%,1,0.00%,0,22.88%,35,0.00%,0,72.55%,111,0.00%,0,Yes,Minority,Minority,M,"Block Group 3, Census Tract 6.01, Suffolk County, Massachusetts",Block Group 3,3,2.50E+11,601,,,M,Boston,N,112031,0,132.7617493,1,Polygon,23,10.04366779,76298,90.41654205,559,33.92434988,84827.07703,1708.001069,846,229
Boston,0,601,601,4,93,22.66666667,7.53%,7,0.00%,0,8.60%,8,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,8.60%,8,0.00%,0,2.15%,2,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,18.28%,17,0.00%,0,54.84%,51,0.00%,0,Yes,Minority,Minority,M,"Block Group 4, Census Tract 6.01, Suffolk County, Massachusetts",Block Group 4,4,2.50E+11,601,,,M,Boston,N,106607,0,126.3340607,1,Polygon,23,5.77889442,76298,90.41654205,575,43.40551181,88397.17514,1348.556751,1016,398
