muni,Muni Zoned %_single_family,TRACT CODE,Cleaned Tract Code,Block Group of parcel_data_aggregated_by_block_group,N,percent_sf_residences,Row %(Apartments with Four or more units),N(Apartments with Four or more units),Row %(Chapter 61 or 61A or 61B Property),N(Chapter 61 or 61A or 61B Property),Row %(Commercial),N(Commercial),Row %(Commercial Vacant),N(Commercial Vacant),Row %(Condominium),N(Condominium),Row %(Federal State or Municipal),N(Federal State or Municipal),Row %(Group Quarters),N(Group Quarters),Row %(Industrial),N(Industrial),Row %(Industrial Vacant),N(Industrial Vacant),Row %(Institutional or Exempt),N(Institutional or Exempt),Row %(Institutional or Exempt Vacant),N(Institutional or Exempt Vacant),Row %(Mixed Use),N(Mixed Use),Row %(Municipal Vacant),N(Municipal Vacant),Row %(Open Space),N(Open Space),Row %(Other Agricultural or Recreational),N(Other Agricultural or Recreational),Row %(Residential Other),N(Residential Other),Row %(Residential Vacant),N(Residential Vacant),Row %(Single Family Residence),N(Single Family Residence),Row %(Tax Exempt Other),N(Tax Exempt Other),Row %(Two or Three Family Residences),N(Two or Three Family Residences),Row %(Unknown),N(Unknown),EJ,Ej Crit De,recoded_ej_criteria,Ej Criteri,Geographic,Geographic 1,Block Group of EJ_POLY,Geoid,Census Tract,Limitedeng,Medianhhi,Minority P,Municipali,Split For,Bg Mhhi,Bg Mhhi Is,Bg Mhhi Pc,Ej Crite 1,Geometry,Limenghh,Limenghhpc,Muni Mhhi,Munimhhi P,Nonhispwhi,Pct Minori,Shape Area,Shape Len,Total Pop,Totalhh
Quincy,40.97681957,418102,418102,3,99,74.15730337,9.09%,9,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,8.08%,8,0.00%,0,0.00%,0,1.01%,1,0.00%,0,0.00%,0,4.04%,4,1.01%,1,66.67%,66,0.00%,0,10.10%,10,0.00%,0,Yes,Minority,Minority,M,"Block Group 3, Census Tract 4181.02, Norfolk County, Massachusetts",Block Group 3,3,2.50E+11,418102,,,M,Quincy,N,77981,0,92.4109726,1,Polygon,0,0,80462,95.35106659,500,52.56166983,235968.4771,2156.155664,1054,581
Quincy,40.97681957,418201,418201,1,362,64.17910448,7.73%,28,0.00%,0,13.81%,50,1.10%,4,0.00%,0,0.83%,3,0.00%,0,1.66%,6,0.28%,1,5.25%,19,0.00%,0,2.76%,10,0.28%,1,0.00%,0,0.00%,0,0.55%,2,0.00%,0,47.51%,172,0.00%,0,18.23%,66,0.00%,0,Yes,Minority and income,Minority and income,MI,"Block Group 1, Census Tract 4182.01, Norfolk County, Massachusetts",Block Group 1,1,2.50E+11,418201,,I,M,Quincy,N,52000,0,61.6223259,2,Polygon,20,2.77008319,80462,95.35106659,1082,46.06181456,690932.9695,4535.290999,2006,722
Quincy,40.97681957,418201,418201,2,339,83.80952381,3.54%,12,0.00%,0,1.77%,6,0.29%,1,0.00%,0,0.88%,3,0.00%,0,0.29%,1,0.00%,0,2.36%,8,0.00%,0,0.59%,2,0.00%,0,0.00%,0,0.00%,0,0.59%,2,0.88%,3,77.88%,264,0.00%,0,10.91%,37,0.00%,0,Yes,Minority,Minority,M,"Block Group 2, Census Tract 4182.01, Norfolk County, Massachusetts",Block Group 2,2,2.50E+11,418201,,,M,Quincy,N,97500,0,115.5418625,1,Polygon,63,6.16438341,80462,95.35106659,1109,44.41102757,1607727.001,7225.368372,1995,1022
Quincy,40.97681957,418201,418201,3,597,94.53262787,1.34%,8,0.00%,0,0.67%,4,0.00%,0,0.00%,0,0.17%,1,0.00%,0,0.67%,4,0.34%,2,1.34%,8,0.00%,0,0.00%,0,0.34%,2,0.00%,0,0.00%,0,0.50%,3,1.51%,9,89.78%,536,0.00%,0,3.35%,20,0.00%,0,Yes,Minority,Minority,M,"Block Group 3, Census Tract 4182.01, Norfolk County, Massachusetts",Block Group 3,3,2.50E+11,418201,,,M,Quincy,N,110403,0,130.832489,1,Polygon,76,9.17874432,80462,95.35106659,1617,30.71979434,4464405.177,8992.712358,2334,828
Braintree,0,419100,419100,1,525,86.58008658,1.33%,7,0.00%,0,6.48%,34,0.19%,1,0.57%,3,0.00%,0,0.00%,0,0.38%,2,0.00%,0,2.29%,12,0.00%,0,1.52%,8,0.00%,0,0.00%,0,0.00%,0,0.76%,4,0.76%,4,76.19%,400,0.00%,0,9.14%,48,0.38%,2,Yes,Minority,Minority,M,"Block Group 1, Census Tract 4191, Norfolk County, Massachusetts",Block Group 1,1,2.50E+11,419100,,,M,Braintree,N,76786,0,90.99484253,1,Polygon,12,2.39043832,101544,120.3341827,1205,27.27821364,763650.5573,4477.317366,1657,502
,,419100,419100,2,44,,0.00%,0,0.00%,0,84.09%,37,0.00%,0,0.00%,0,4.55%,2,0.00%,0,9.09%,4,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,2.27%,1,No,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
Braintree,0,419100,419100,3,184,82.65895954,1.09%,2,0.00%,0,0.54%,1,0.00%,0,0.54%,1,0.00%,0,0.00%,0,0.00%,0,0.00%,0,1.63%,3,0.00%,0,1.63%,3,1.63%,3,0.00%,0,0.00%,0,2.17%,4,0.54%,1,77.72%,143,0.00%,0,12.50%,23,0.00%,0,Yes,Minority,Minority,M,"Block Group 3, Census Tract 4191, Norfolk County, Massachusetts",Block Group 3,3,2.50E+11,419100,,,M,Braintree,N,85786,0,101.6602478,1,Polygon,12,3.92156863,101544,120.3341827,509,27.80141844,330718.327,3015.039997,705,306
Braintree,0,419100,419100,4,465,91.11617312,1.72%,8,0.00%,0,2.15%,10,0.00%,0,0.65%,3,1.08%,5,0.00%,0,0.00%,0,0.00%,0,0.43%,2,0.00%,0,0.43%,2,0.22%,1,0.00%,0,0.00%,0,0.65%,3,1.08%,5,86.02%,400,0.00%,0,5.38%,25,0.22%,1,Yes,Minority,Minority,M,"Block Group 4, Census Tract 4191, Norfolk County, Massachusetts",Block Group 4,4,2.50E+11,419100,,,M,Braintree,N,137648,0,163.1190338,1,Polygon,17,3.030303,101544,120.3341827,1280,24.88262911,747777.3503,4531.983752,1704,561
Braintree,0,419100,419100,5,659,98.36867863,0.15%,1,0.00%,0,3.95%,26,0.00%,0,0.00%,0,0.00%,0,0.00%,0,1.52%,10,0.00%,0,1.06%,7,0.00%,0,0.00%,0,0.30%,2,0.00%,0,0.00%,0,0.15%,1,0.15%,1,91.50%,603,0.00%,0,1.21%,8,0.00%,0,Yes,Minority,Minority,M,"Block Group 5, Census Tract 4191, Norfolk County, Massachusetts",Block Group 5,5,2.50E+11,419100,,,M,Braintree,N,108036,0,128.0274963,1,Polygon,16,2.53164554,101544,120.3341827,1385,38.08672329,3975595.454,13879.13897,2237,632
Braintree,0,419200,419200,1,718,97.84172662,0.42%,3,0.00%,0,1.11%,8,0.00%,0,0.14%,1,0.28%,2,0.00%,0,0.70%,5,0.00%,0,0.14%,1,0.00%,0,0.28%,2,0.28%,2,0.00%,0,0.00%,0,0.00%,0,0.28%,2,94.71%,680,0.14%,1,1.53%,11,0.00%,0,Yes,Minority,Minority,M,"Block Group 1, Census Tract 4192, Norfolk County, Massachusetts",Block Group 1,1,2.50E+11,419200,,,M,Braintree,N,96688,0,114.5796051,1,Polygon,32,3.72526193,101544,120.3341827,1633,27.22816399,1435523.932,6963.406018,2244,859
